School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lafayette (Wildwood),2.37,2.52,4.89,1,1,1
St. Teresa's Academy,2.02,1.94,3.95,3,3,2
Park Hill South,1.99,1.92,3.91,4,4,3
St. Joseph's Academy,1.89,1.96,3.85,5,2,4
Ozark,2.02,1.75,3.76,2,6,5
Lee's Summit West,1.77,1.84,3.61,8,5,6
Parkway West,1.81,1.73,3.53,6,7,7
Francis Howell,1.78,1.72,3.5,7,8,8
Rock Bridge,1.64,1.67,3.32,11,9,9
Liberty,1.71,1.6,3.31,10,11,10
Villa Duchesne,1.73,1.56,3.3,9,12,11
Visitation Academy,1.64,1.65,3.28,12,10,12
Kirkwood,1.53,1.54,3.06,14,13,13
St. Dominic,1.57,1.49,3.06,13,15,14
Marquette,1.47,1.52,2.99,16,14,15
Cor Jesu Academy,1.44,1.43,2.88,18,18,16
Carl Junction,1.43,1.44,2.87,20,17,17
Logan-Rogersville,1.42,1.41,2.83,21,19,18
Perryville,1.36,1.46,2.82,24,16,19
Nerinx Hall,1.49,1.31,2.81,15,23,20
Helias Catholic,1.44,1.35,2.8,17,22,21
Ursuline Academy,1.4,1.39,2.79,22,20,22
Kearney,1.34,1.37,2.71,26,21,23
Blue Springs South,1.36,1.28,2.64,25,25,24
Glendale,1.33,1.31,2.64,28,24,25
Notre Dame (Cape Girardeau),1.44,1.17,2.61,19,34,26
Jefferson City,1.4,1.2,2.59,23,33,27
Eureka,1.28,1.25,2.54,29,27,28
St. Pius X (Festus),1.23,1.27,2.5,31,26,29
Platte County,1.24,1.21,2.45,30,32,30
Republic,1.21,1.22,2.43,36,31,31
Kickapoo,1.18,1.23,2.41,38,29,32
Buffalo,1.22,1.16,2.38,34,35,33
Timberland,1.23,1.15,2.38,33,36,34
MICDS,1.13,1.25,2.37,42,28,35
Blue Springs,1.34,0.99,2.33,27,50,36
Reeds Spring,1.08,1.22,2.3,46,30,37
Hannibal,1.21,1.1,2.3,35,40,38
Duchesne,1.2,1.08,2.28,37,41,39
Lutheran St. Charles,1.23,1.05,2.28,32,45,40
Oakville,1.14,1.07,2.2,41,43,41
Dexter,1.09,1.1,2.19,45,39,42
St. Pius X (Kansas City),1.16,1.03,2.18,39,47,43
Fatima,0.99,1.15,2.14,55,37,44
Troy Buchanan,1.1,1.03,2.13,44,46,45
Parkway North,1.07,1.06,2.13,48,44,46
Nixa,1.03,1.08,2.11,51,42,47
Bismarck,1.08,1.02,2.11,47,48,48
Lee's Summit North,1.12,0.96,2.08,43,54,49
Central (Springfield),1.15,0.91,2.06,40,62,50
Ft. Zumwalt West,1.04,0.99,2.04,50,49,51
Hermann,0.93,1.11,2.03,62,38,52
Lutheran South,1.07,0.96,2.03,49,55,53
Central (Park Hills),1.03,0.96,1.99,52,56,54
Jefferson (Festus),1.0,0.98,1.98,53,52,55
Northwest (Cedar Hill),0.94,0.99,1.93,61,51,56
Staley,0.95,0.97,1.93,59,53,57
Windsor (Imperial),0.98,0.93,1.91,57,59,58
Oak Park,0.99,0.9,1.9,54,63,59
Webster Groves,0.98,0.92,1.9,56,60,60
Pleasant Hill,0.94,0.94,1.89,60,57,61
Francis Howell Central,0.91,0.93,1.85,63,58,62
Leopold,0.83,0.92,1.75,67,61,63
Notre Dame de Sion,0.97,0.77,1.74,58,70,64
Bishop DuBourg,0.89,0.85,1.73,64,67,65
Raymore-Peculiar,0.79,0.87,1.66,72,65,66
Lee's Summit,0.78,0.86,1.64,73,66,67
Valle Catholic,0.81,0.83,1.64,69,68,68
Ste. Genevieve,0.86,0.76,1.62,66,71,69
Washington,0.81,0.75,1.56,70,73,70
Fair Grove,0.74,0.82,1.56,75,69,71
North County,0.86,0.69,1.55,65,74,72
Bishop LeBlond,0.65,0.87,1.52,83,64,73
O'Hara,0.81,0.66,1.46,71,79,74
Carthage,0.74,0.69,1.43,74,76,75
Grain Valley,0.73,0.69,1.41,76,75,76
Incarnate Word Academy,0.82,0.58,1.4,68,88,77
Lindbergh,0.61,0.76,1.36,85,72,78
Santa Fe,0.7,0.65,1.36,77,80,79
Blair Oaks,0.68,0.67,1.35,79,78,80
Francis Howell North,0.69,0.58,1.27,78,91,81
Liberty (Mountain View),0.58,0.67,1.26,88,77,82
Springfield Catholic,0.66,0.59,1.25,82,86,83
Farmington,0.66,0.59,1.24,81,87,84
Winfield,0.61,0.61,1.22,84,85,85
Joplin,0.56,0.63,1.19,95,81,86
Clearwater,0.57,0.61,1.18,94,83,87
Park Hill,0.6,0.58,1.18,86,89,88
Woodland,0.59,0.58,1.18,87,90,89
Liberty North,0.54,0.62,1.16,99,82,90
Holt,0.58,0.57,1.15,89,96,91
Westminster Christian Academy,0.58,0.57,1.15,92,94,92
Lesterville,0.53,0.61,1.14,102,84,93
Summit Christian Academy,0.68,0.47,1.14,80,110,94
Mountain Grove,0.58,0.54,1.12,90,100,95
Parkview,0.54,0.55,1.1,98,98,96
Notre Dame (St. Louis),0.52,0.57,1.09,104,95,97
Pattonville,0.5,0.57,1.08,106,93,98
Saxony Lutheran,0.54,0.52,1.05,100,104,99
Savannah,0.58,0.47,1.05,91,109,100
Mehlville,0.57,0.46,1.03,93,111,101
Affton,0.48,0.54,1.02,108,101,102
John F. Kennedy,0.44,0.57,1.02,117,92,103
Lutheran (Kansas City),0.45,0.56,1.01,113,97,104
Waynesville,0.52,0.48,1.0,103,107,105
St. Charles,0.45,0.52,0.98,112,103,106
Bernie,0.56,0.43,0.98,97,114,107
Ft. Zumwalt East,0.56,0.42,0.97,96,115,108
Festus,0.39,0.55,0.93,122,99,109
El Dorado Springs,0.53,0.4,0.93,101,118,110
Arcadia Valley,0.45,0.48,0.92,115,108,111
Rolla,0.47,0.44,0.9,110,113,112
Midway,0.37,0.53,0.9,125,102,113
Ft. Zumwalt North,0.5,0.39,0.88,107,120,114
Parkway Central,0.44,0.44,0.88,118,112,115
St. Vincent,0.38,0.5,0.87,124,105,116
DeSoto,0.48,0.38,0.86,109,121,117
New Haven,0.51,0.34,0.85,105,124,118
Osceola,0.43,0.41,0.84,119,116,119
Parkway South,0.32,0.49,0.81,133,106,120
Winona,0.45,0.34,0.79,114,123,121
Marshfield,0.44,0.33,0.77,116,126,122
Ash Grove,0.36,0.41,0.77,127,117,123
Nevada,0.46,0.3,0.76,111,129,124
Ladue Horton Watkins,0.31,0.39,0.7,135,119,125
Barat Academy,0.38,0.32,0.7,123,128,126
John Burroughs,0.42,0.27,0.69,120,133,127
North Kansas City,0.34,0.35,0.68,130,122,128
Ritenour,0.36,0.29,0.65,126,130,129
Branson,0.31,0.33,0.64,136,127,130
California,0.28,0.33,0.61,142,125,131
St. Charles West,0.33,0.25,0.58,131,136,132
Willard,0.31,0.28,0.58,137,132,133
Gideon,0.33,0.25,0.58,132,135,134
Warrenton,0.34,0.21,0.55,129,139,135
Sparta,0.4,0.15,0.55,121,150,136
Belton,0.28,0.26,0.54,140,134,137
Lafayette County,0.28,0.23,0.51,143,137,138
Pembroke Hill,0.32,0.18,0.49,134,146,139
Barstow,0.35,0.12,0.47,128,154,140
Clayton,0.28,0.2,0.47,144,142,141
Jackson,0.17,0.28,0.45,155,131,142
St. Paul Lutheran (Concordia),0.23,0.19,0.42,148,144,143
Excelsior Springs,0.3,0.11,0.41,138,158,144
Maryville,0.29,0.12,0.41,139,155,145
Advance,0.19,0.22,0.41,152,138,146
Pacific,0.25,0.1,0.36,145,159,147
Owensville,0.14,0.2,0.34,160,140,148
Cole Camp,0.14,0.2,0.34,161,143,149
Malden,0.19,0.15,0.34,154,149,150
Hollister,0.22,0.12,0.34,149,156,151
Holden,0.23,0.09,0.32,147,160,152
Marshall,0.16,0.14,0.3,156,153,153
Dixon,0.23,0.07,0.3,146,162,154
Trinity Catholic,0.14,0.16,0.3,159,148,155
Kennett,0.21,0.07,0.28,151,163,156
Pierce City,0.28,-0.01,0.27,141,177,157
William Chrisman,0.07,0.2,0.27,170,141,158
Poplar Bluff,0.11,0.14,0.25,163,152,159
Summersville,0.09,0.16,0.25,166,147,160
Fox,0.19,0.06,0.25,153,164,161
Mt. Vernon,0.06,0.18,0.25,171,145,162
Puxico,0.08,0.14,0.22,168,151,163
Sacred Heart,0.16,0.04,0.19,157,168,164
Ft. Zumwalt South,0.22,-0.03,0.19,150,181,165
Boonville,0.08,0.09,0.17,167,161,166
Lebanon,0.15,0.01,0.17,158,172,167
West County,0.1,0.06,0.16,164,165,168
Spokane,0.14,-0.01,0.13,162,176,169
Lafayette (St. Joseph),0.08,0.03,0.11,169,169,170
Hazelwood Central,0.04,0.05,0.09,173,166,171
Webb City,0.03,0.04,0.08,174,167,172
Winnetonka,-0.04,0.12,0.08,185,157,173
Billings,0.05,0.01,0.06,172,173,174
Fort Osage,0.1,-0.06,0.04,165,182,175
Osage,0.0,0.03,0.03,178,170,176
McCluer North,0.02,-0.01,0.01,176,178,177
Bolivar,-0.03,0.02,-0.0,183,171,178
Rockwood Summit,0.0,-0.02,-0.02,179,179,179
Principia,-0.01,-0.01,-0.02,181,175,180
Eminence,-0.02,-0.03,-0.05,182,180,181
Hazelwood West,0.01,-0.06,-0.05,177,184,182
Jasper,-0.0,-0.13,-0.13,180,196,183
Greenville,0.02,-0.16,-0.14,175,203,184
Union,-0.06,-0.09,-0.15,188,187,185
Fredericktown,-0.1,-0.08,-0.18,193,186,186
Portageville,-0.04,-0.14,-0.18,184,200,187
Central (New Madrid County),-0.12,-0.06,-0.18,199,183,188
Concordia,-0.09,-0.1,-0.18,190,188,189
Orchard Farm,-0.18,-0.01,-0.19,205,174,190
Tarkio,-0.11,-0.08,-0.19,196,185,191
Benton,-0.11,-0.1,-0.21,197,189,192
Aurora,-0.1,-0.13,-0.22,191,197,193
McDonald County,-0.11,-0.11,-0.22,195,193,194
South Iron,-0.08,-0.17,-0.25,189,204,195
Potosi,-0.15,-0.1,-0.25,201,191,196
Raytown,-0.06,-0.2,-0.25,187,209,197
Lutheran North,-0.16,-0.12,-0.29,203,195,198
Cabool,-0.14,-0.17,-0.31,200,205,199
Harrisonville,-0.18,-0.13,-0.31,204,198,200
Cuba,-0.19,-0.13,-0.32,207,199,201
Southwest (Washburn),-0.18,-0.15,-0.34,206,202,202
Bloomfield,-0.23,-0.11,-0.34,214,192,203
Clarkton,-0.24,-0.15,-0.38,217,201,204
Camdenton,-0.12,-0.26,-0.38,198,218,205
Seckman,-0.2,-0.19,-0.39,208,208,206
Butler,-0.2,-0.2,-0.39,209,210,207
Centralia,-0.16,-0.23,-0.39,202,214,208
Central (St. Joseph),-0.26,-0.12,-0.39,224,194,209
New Heights Christian,-0.3,-0.1,-0.4,232,190,210
Crane,-0.1,-0.3,-0.4,192,224,211
Crystal City,-0.23,-0.19,-0.42,216,207,212
Rock Port,-0.06,-0.36,-0.42,186,233,213
Doniphan,-0.25,-0.18,-0.43,219,206,214
Mound City,-0.21,-0.24,-0.44,210,216,215
Brentwood,-0.24,-0.24,-0.48,218,217,216
Green Ridge,-0.25,-0.23,-0.48,220,213,217
Cooter,-0.23,-0.28,-0.51,215,222,218
Linn,-0.31,-0.21,-0.52,233,211,219
Odessa,-0.25,-0.27,-0.53,221,221,220
Fulton,-0.3,-0.23,-0.53,231,215,221
Wright City,-0.21,-0.33,-0.54,212,229,222
Oak Ridge,-0.26,-0.27,-0.54,223,220,223
Liberal,-0.1,-0.45,-0.55,194,247,224
Lockwood,-0.34,-0.23,-0.56,237,212,225
Herculaneum,-0.28,-0.29,-0.57,228,223,226
Clever,-0.21,-0.38,-0.58,211,236,227
Southern Boone,-0.26,-0.33,-0.59,225,228,228
Northwest (Hughesville),-0.28,-0.32,-0.6,227,227,229
Forsyth,-0.25,-0.35,-0.6,222,232,230
Bayless,-0.35,-0.27,-0.61,239,219,231
Licking,-0.29,-0.32,-0.61,230,226,232
Hillsboro,-0.27,-0.39,-0.66,226,237,233
Hickman,-0.22,-0.44,-0.66,213,245,234
Clinton,-0.36,-0.33,-0.69,241,230,235
Warsaw,-0.35,-0.37,-0.72,240,234,236
Kingston,-0.33,-0.4,-0.73,234,238,237
Cameron,-0.37,-0.37,-0.74,242,235,238
Veritas Christian Academy,-0.46,-0.3,-0.76,255,225,239
East Newton,-0.34,-0.43,-0.76,236,240,240
Warrensburg,-0.43,-0.34,-0.77,250,231,241
North Technical,-0.37,-0.43,-0.81,243,243,242
Crossroads College Preparatory,-0.4,-0.41,-0.81,246,239,243
Oran,-0.28,-0.54,-0.82,229,266,244
Wellington-Napoleon,-0.34,-0.48,-0.83,238,256,245
Chillicothe,-0.43,-0.43,-0.86,249,242,246
Hillcrest,-0.44,-0.46,-0.9,251,250,247
Orrick,-0.45,-0.46,-0.91,253,249,248
Maplewood-Richmond Hts.,-0.41,-0.52,-0.93,247,261,249
Whitfield,-0.39,-0.54,-0.93,244,267,250
St. Clair,-0.5,-0.44,-0.94,262,244,251
Drexel,-0.49,-0.45,-0.94,259,246,252
Verona,-0.47,-0.47,-0.95,256,254,253
Campbell,-0.4,-0.56,-0.95,245,269,254
Diamond,-0.49,-0.47,-0.96,258,253,255
Raytown South,-0.49,-0.47,-0.96,260,255,256
Holcomb,-0.5,-0.46,-0.96,263,251,257
Lamar,-0.42,-0.55,-0.97,248,268,258
Eldon,-0.44,-0.53,-0.98,252,265,259
Adrian,-0.5,-0.48,-0.99,264,257,260
Oak Grove,-0.49,-0.5,-0.99,261,259,261
Meadow Heights,-0.53,-0.46,-0.99,270,248,262
Hallsville,-0.57,-0.43,-1.0,273,241,263
Marionville,-0.53,-0.47,-1.0,271,252,264
Hayti,-0.48,-0.53,-1.01,257,264,265
Central (Cape Girardeau),-0.51,-0.52,-1.04,265,263,266
Seneca,-0.52,-0.57,-1.09,266,271,267
Lawson,-0.59,-0.51,-1.09,276,260,268
Pleasant Hope,-0.61,-0.49,-1.1,279,258,269
Sikeston,-0.52,-0.6,-1.12,267,272,270
Greenfield,-0.6,-0.52,-1.12,277,262,271
Neosho,-0.58,-0.57,-1.15,275,270,272
Gateway,-0.52,-0.64,-1.17,268,277,273
Bell City,-0.33,-0.85,-1.18,235,306,274
Valley,-0.45,-0.75,-1.2,254,294,275
Versailles,-0.53,-0.69,-1.21,269,284,276
McCluer,-0.61,-0.62,-1.22,278,275,277
Belle,-0.63,-0.6,-1.23,281,273,278
Viburnum,-0.58,-0.66,-1.24,274,281,279
Hazelwood East,-0.62,-0.65,-1.26,280,278,280
Miller,-0.65,-0.61,-1.26,285,274,281
Wheaton,-0.64,-0.66,-1.3,283,282,282
Father Tolton,-0.56,-0.79,-1.35,272,301,283
University City,-0.66,-0.7,-1.36,286,287,284
Mexico,-0.63,-0.74,-1.38,282,293,285
Cassville,-0.64,-0.76,-1.4,284,295,286
Soldan International Studies,-0.76,-0.65,-1.41,296,279,287
Knob Noster,-0.7,-0.71,-1.41,288,288,288
Miller Career Academy,-0.7,-0.73,-1.43,287,291,289
Houston,-0.74,-0.69,-1.43,293,286,290
Bunker,-0.75,-0.69,-1.44,294,285,291
Ruskin,-0.78,-0.68,-1.46,299,283,292
West Platte,-0.76,-0.71,-1.47,297,289,293
Grandview,-0.74,-0.74,-1.48,292,292,294
School of the Ozarks,-0.85,-0.65,-1.5,304,280,295
Grandview (Hillsboro),-0.88,-0.62,-1.5,310,276,296
Willow Springs,-0.72,-0.79,-1.51,290,299,297
North Pemiscot,-0.73,-0.79,-1.52,291,298,298
Lexington,-0.76,-0.77,-1.53,295,296,299
Ava,-0.86,-0.72,-1.58,305,290,300
North Platte,-0.71,-0.87,-1.58,289,309,301
McCluer South-Berkeley,-0.78,-0.84,-1.62,298,305,302
Rich Hill,-0.83,-0.85,-1.68,301,308,303
Purdy,-0.88,-0.81,-1.68,309,302,304
Windsor,-0.9,-0.79,-1.69,313,300,305
St. James,-0.86,-0.83,-1.7,306,304,306
Carnahan,-0.94,-0.78,-1.72,323,297,307
Senath-Hornersville,-0.84,-0.89,-1.73,303,310,308
Kirksville,-0.93,-0.82,-1.75,321,303,309
Bourbon,-0.84,-0.91,-1.75,302,315,310
Hurley,-0.79,-0.98,-1.77,300,326,311
Montgomery County,-0.88,-0.92,-1.8,308,317,312
Jennings,-0.97,-0.85,-1.81,327,307,313
Hume,-0.89,-0.92,-1.81,312,316,314
Monett,-0.92,-0.91,-1.83,318,313,315
Charleston,-0.94,-0.89,-1.83,325,311,316
La Monte,-0.89,-0.97,-1.85,311,323,317
Lakeland,-0.93,-0.93,-1.86,320,319,318
Stockton,-0.92,-0.94,-1.86,317,320,319
Lathrop,-0.97,-0.91,-1.88,329,312,320
Eugene,-0.93,-0.95,-1.88,319,321,321
Center,-0.91,-0.98,-1.9,316,327,322
Battle,-0.87,-1.03,-1.9,307,336,323
Carrollton,-0.94,-0.96,-1.9,324,322,324
Normandy Collaborative,-1.0,-0.92,-1.92,331,318,325
Valley Park,-0.9,-1.01,-1.92,314,333,326
Blue Eye,-0.94,-0.98,-1.92,322,328,327
Lone Jack,-1.08,-0.91,-1.99,341,314,328
Zalma,-0.97,-1.03,-2.0,328,335,329
Lincoln College Prep,-1.0,-1.0,-2.0,332,330,330
Cardinal Ritter,-1.03,-0.97,-2.0,336,324,331
Cleveland NJROTC,-0.96,-1.05,-2.01,326,339,332
Smithton,-1.02,-1.01,-2.03,334,332,333
Richland (Essex),-0.91,-1.13,-2.03,315,347,334
Tipton,-1.05,-1.03,-2.08,338,334,335
Fordland,-0.99,-1.09,-2.09,330,343,336
Calvary Lutheran,-1.06,-1.03,-2.1,339,337,337
East Buchanan,-1.03,-1.08,-2.11,335,342,338
Hancock,-1.14,-0.97,-2.11,347,325,339
Marquand-Zion,-1.11,-1.0,-2.11,344,329,340
Mid-Buchanan,-1.07,-1.07,-2.13,340,341,341
Sherwood,-1.11,-1.05,-2.15,343,338,342
Roosevelt,-1.01,-1.15,-2.16,333,350,343
Archie,-1.03,-1.15,-2.18,337,348,344
Bowling Green,-1.2,-1.01,-2.21,351,331,345
Caruthersville,-1.13,-1.17,-2.3,345,351,346
Risco,-1.2,-1.1,-2.3,352,344,347
Salem,-1.18,-1.19,-2.37,349,352,348
Cristo Rey,-1.17,-1.2,-2.37,348,354,349
Crest Ridge,-1.14,-1.25,-2.39,346,359,350
West Plains,-1.24,-1.15,-2.39,356,349,351
Sweet Springs,-1.27,-1.12,-2.39,358,346,352
College Preparatory,-1.29,-1.1,-2.4,360,345,353
Sarcoxie,-1.22,-1.19,-2.41,353,353,354
McAuley Catholic,-1.2,-1.25,-2.44,350,358,355
Thomas Jefferson Independent Day,-1.22,-1.22,-2.44,354,355,356
Plattsburg,-1.23,-1.22,-2.45,355,356,357
Conway,-1.42,-1.05,-2.48,369,340,358
University Academy Charter,-1.1,-1.4,-2.5,342,369,359
Ellington,-1.3,-1.24,-2.54,363,357,360
Skyline,-1.29,-1.3,-2.59,361,361,361
Trenton,-1.29,-1.31,-2.6,362,362,362
St. Joseph Christian,-1.25,-1.34,-2.6,357,364,363
Everton,-1.32,-1.29,-2.61,365,360,364
Delta (Deering),-1.31,-1.31,-2.61,364,363,365
Kingsville,-1.28,-1.39,-2.66,359,367,366
Riverview Gardens,-1.32,-1.4,-2.72,366,368,367
Galena,-1.35,-1.36,-2.72,368,365,368
Bronaugh,-1.46,-1.4,-2.86,371,370,369
Richmond,-1.54,-1.38,-2.91,374,366,370
Lift for Life Academy Charter,-1.32,-1.61,-2.93,367,374,371
Plato,-1.53,-1.41,-2.94,372,371,372
Lincoln,-1.53,-1.61,-3.14,373,375,373
Central (Kansas City),-1.54,-1.6,-3.15,375,373,374
Chamois,-1.43,-1.79,-3.22,370,381,375
Ballard,-1.67,-1.58,-3.25,377,372,376
Thayer,-1.76,-1.64,-3.39,379,376,377
Exeter,-1.69,-1.71,-3.4,378,379,378
Malta Bend,-1.66,-1.75,-3.41,376,380,379
Northeast (Kansas City),-1.76,-1.66,-3.42,380,377,380
Bradleyville,-1.78,-1.69,-3.47,381,378,381
Golden City,-1.91,-1.85,-3.75,382,383,382
Penney,-1.99,-1.8,-3.79,386,382,383
East (Kansas City),-1.93,-1.88,-3.82,384,384,384
Niangua,-1.91,-1.91,-3.82,383,386,385
Nodaway-Holt,-2.0,-1.9,-3.91,387,385,386
Hogan Prep Academy Charter,-2.02,-1.95,-3.97,388,387,387
Chadwick,-1.94,-2.04,-3.98,385,390,388
Miami (Amoret),-2.06,-1.97,-4.03,389,388,389
Northeast Vernon County,-2.14,-2.08,-4.22,390,391,390
Wentworth Military Academy,-2.2,-2.03,-4.23,392,389,391
Southwest Early College,-2.16,-2.23,-4.39,391,392,392
Chilhowee,-2.37,-2.25,-4.62,393,393,393
Sheldon,-2.66,-2.63,-5.29,395,394,394
Southeast,-2.77,-2.65,-5.42,396,395,395
Missouri School for the Deaf,-2.59,-2.88,-5.47,394,396,396
