School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Bismarck,1.08,1.02,2.11,1,1,1
Leopold,0.83,0.92,1.75,2,2,2
Valle Catholic,0.81,0.83,1.64,3,3,3
Santa Fe,0.7,0.65,1.36,4,4,4
Lesterville,0.53,0.61,1.14,6,5,5
Lutheran (Kansas City),0.45,0.56,1.01,8,6,6
Bernie,0.56,0.43,0.98,5,9,7
Midway,0.37,0.53,0.9,12,7,8
St. Vincent,0.38,0.5,0.87,11,8,9
New Haven,0.51,0.34,0.85,7,12,10
Osceola,0.43,0.41,0.84,10,10,11
Winona,0.45,0.34,0.79,9,11,12
Gideon,0.33,0.25,0.58,13,13,13
Advance,0.19,0.22,0.41,15,14,14
Pierce City,0.28,-0.01,0.27,14,19,15
Summersville,0.09,0.16,0.25,18,15,16
Sacred Heart,0.16,0.04,0.19,16,16,17
Spokane,0.14,-0.01,0.13,17,18,18
Billings,0.05,0.01,0.06,19,17,19
Eminence,-0.02,-0.03,-0.05,22,20,20
Jasper,-0.0,-0.13,-0.13,21,24,21
Greenville,0.02,-0.16,-0.14,20,26,22
Concordia,-0.09,-0.1,-0.18,25,22,23
Tarkio,-0.11,-0.08,-0.19,27,21,24
South Iron,-0.08,-0.17,-0.25,24,27,25
Bloomfield,-0.23,-0.11,-0.34,29,23,26
Clarkton,-0.24,-0.15,-0.38,32,25,27
Crystal City,-0.23,-0.19,-0.42,31,28,28
Rock Port,-0.06,-0.36,-0.42,23,35,29
Mound City,-0.21,-0.24,-0.44,28,31,30
Green Ridge,-0.25,-0.23,-0.48,33,30,31
Cooter,-0.23,-0.28,-0.51,30,33,32
Oak Ridge,-0.26,-0.27,-0.54,34,32,33
Liberal,-0.1,-0.45,-0.55,26,38,34
Lockwood,-0.34,-0.23,-0.56,39,29,35
Northwest (Hughesville),-0.28,-0.32,-0.6,35,34,36
Kingston,-0.33,-0.4,-0.73,37,36,37
Oran,-0.28,-0.54,-0.82,36,45,38
Wellington-Napoleon,-0.34,-0.48,-0.83,40,43,39
Orrick,-0.45,-0.46,-0.91,42,40,40
Drexel,-0.49,-0.45,-0.94,45,37,41
Verona,-0.47,-0.47,-0.95,44,42,42
Campbell,-0.4,-0.56,-0.95,41,46,43
Holcomb,-0.5,-0.46,-0.96,46,41,44
Meadow Heights,-0.53,-0.46,-0.99,47,39,45
Greenfield,-0.6,-0.52,-1.12,50,44,46
Bell City,-0.33,-0.85,-1.18,38,57,47
Valley,-0.45,-0.75,-1.2,43,53,48
Viburnum,-0.58,-0.66,-1.24,49,49,49
Miller,-0.65,-0.61,-1.26,52,47,50
Wheaton,-0.64,-0.66,-1.3,51,50,51
Father Tolton,-0.56,-0.79,-1.35,48,56,52
Bunker,-0.75,-0.69,-1.44,55,51,53
West Platte,-0.76,-0.71,-1.47,56,52,54
School of the Ozarks,-0.85,-0.65,-1.5,59,48,55
North Pemiscot,-0.73,-0.79,-1.52,54,54,56
North Platte,-0.71,-0.87,-1.58,53,59,57
Rich Hill,-0.83,-0.85,-1.68,58,58,58
Windsor,-0.9,-0.79,-1.69,62,55,59
Hurley,-0.79,-0.98,-1.77,57,64,60
Hume,-0.89,-0.92,-1.81,61,61,61
La Monte,-0.89,-0.97,-1.85,60,63,62
Lakeland,-0.93,-0.93,-1.86,64,62,63
Lone Jack,-1.08,-0.91,-1.99,70,60,64
Zalma,-0.97,-1.03,-2.0,65,67,65
Smithton,-1.02,-1.01,-2.03,67,66,66
Richland (Essex),-0.91,-1.13,-2.03,63,72,67
Fordland,-0.99,-1.09,-2.09,66,69,68
Calvary Lutheran,-1.06,-1.03,-2.1,69,68,69
Marquand-Zion,-1.11,-1.0,-2.11,71,65,70
Archie,-1.03,-1.15,-2.18,68,73,71
Risco,-1.2,-1.1,-2.3,74,70,72
Crest Ridge,-1.14,-1.25,-2.39,72,77,73
Sweet Springs,-1.27,-1.12,-2.39,77,71,74
McAuley Catholic,-1.2,-1.25,-2.44,73,76,75
Thomas Jefferson Independent Day,-1.22,-1.22,-2.44,75,74,76
Ellington,-1.3,-1.24,-2.54,79,75,77
St. Joseph Christian,-1.25,-1.34,-2.6,76,80,78
Everton,-1.32,-1.29,-2.61,81,78,79
Delta (Deering),-1.31,-1.31,-2.61,80,79,80
Kingsville,-1.28,-1.39,-2.66,78,82,81
Galena,-1.35,-1.36,-2.72,82,81,82
Bronaugh,-1.46,-1.4,-2.86,84,83,83
Lincoln,-1.53,-1.61,-3.14,85,85,84
Chamois,-1.43,-1.79,-3.22,83,90,85
Ballard,-1.67,-1.58,-3.25,87,84,86
Thayer,-1.76,-1.64,-3.39,89,86,87
Exeter,-1.69,-1.71,-3.4,88,88,88
Malta Bend,-1.66,-1.75,-3.41,86,89,89
Bradleyville,-1.78,-1.69,-3.47,90,87,90
Golden City,-1.91,-1.85,-3.75,91,91,91
Niangua,-1.91,-1.91,-3.82,92,93,92
Nodaway-Holt,-2.0,-1.9,-3.91,94,92,93
Chadwick,-1.94,-2.04,-3.98,93,96,94
Miami (Amoret),-2.06,-1.97,-4.03,95,94,95
Northeast Vernon County,-2.14,-2.08,-4.22,96,97,96
Wentworth Military Academy,-2.2,-2.03,-4.23,97,95,97
Chilhowee,-2.37,-2.25,-4.62,98,98,98
Sheldon,-2.66,-2.63,-5.29,100,99,99
Missouri School for the Deaf,-2.59,-2.88,-5.47,99,100,100
