Date,Home Team,Home Score,Away Team,Away Score
2013-08-03,Rock Port,2,Mound City,1
2013-08-27,Perryville,2,Central (Cape Girardeau),0
2013-08-27,Stockton,0,Lockwood,2
2013-08-27,William Chrisman,2,Oak Grove,0
2013-08-27,Raytown South,1,Oak Grove,1
2013-08-27,Raytown,2,Oak Grove,0
2013-08-28,Kirkwood,2,Marquette,0
2013-08-29,Union,2,Ava,0
2013-08-29,Camdenton,2,Bolivar,1
2013-08-29,Hillcrest,0,Central (Springfield),2
2013-08-29,Battle,0,Fulton,2
2013-08-29,Skyline,0,Windsor,2
2013-08-30,Meadow Heights,0,Advance,2
2013-08-30,Ursuline Academy,2,Barat Academy,0
2013-08-30,Chamois,0,Belle,2
2013-08-30,Woodland,2,Central (Cape Girardeau),0
2013-08-30,Senath-Hornersville,1,Clarkton,2
2013-08-30,Hancock,2,Cleveland NJROTC,1
2013-08-30,New Haven,2,Father Tolton,0
2013-08-30,Hickman,0,Fatima,2
2013-08-30,Timberland,2,Ft. Zumwalt South,0
2013-08-30,McCluer North,2,Maplewood-Richmond Hts.,0
2013-08-30,Northwest (Cedar Hill),2,Oakville,0
2013-08-30,Cor Jesu Academy,0,Parkway West,2
2013-08-30,Affton,2,Rockwood Summit,0
2013-08-30,Jefferson City,0,St. Joseph's Academy,2
2013-08-30,Marquette,2,Washington,0
2013-08-30,Glendale,2,Waynesville,0
2013-08-31,Rock Port,2,Mound City,1
2013-08-31,St. Joseph Christian,0,Mound City,2
2013-08-31,St. Joseph Christian,1,Richland (Essex),2
2013-09-02,Camdenton,2,Bolivar,1
2013-09-02,Webb City,0,Festus,2
2013-09-02,Parkway South,2,Rockwood Summit,0
2013-09-02,William Chrisman,0,St. Charles,2
2013-09-02,Summit Christian Academy,2,Versailles,0
2013-09-02,Montgomery County,0,Warrenton,2
2013-09-03,Saxony Lutheran,2,Advance,0
2013-09-03,Leopold,2,Advance,0
2013-09-03,Woodland,1,Advance,1
2013-09-03,Bayless,0,Affton,2
2013-09-03,Maplewood-Richmond Hts.,0,Affton,2
2013-09-03,Windsor (Imperial),2,Affton,0
2013-09-03,Pembroke Hill,2,Archie,0
2013-09-03,Miller,0,Ash Grove,2
2013-09-03,Neosho,2,Aurora,0
2013-09-03,Maplewood-Richmond Hts.,0,Bayless,2
2013-09-03,Windsor (Imperial),2,Bayless,0
2013-09-03,New Haven,2,Belle,0
2013-09-03,Grandview,0,Belton,2
2013-09-03,Principia,0,Bishop DuBourg,2
2013-09-03,Mid-Buchanan,0,Bishop LeBlond,2
2013-09-03,Linn,0,Blair Oaks,2
2013-09-03,Cassville,2,Blue Eye,1
2013-09-03,O'Hara,0,Blue Springs South,2
2013-09-03,Warrenton,2,Bowling Green,0
2013-09-03,Hollister,0,Branson,2
2013-09-03,Wright City,2,Bunker,0
2013-09-03,Eugene,0,California,2
2013-09-03,St. Dominic,2,Cardinal Ritter,0
2013-09-03,Joplin,0,Carl Junction,2
2013-09-03,Perryville,2,Central (Cape Girardeau),0
2013-09-03,Southeast,0,Central (Kansas City),2
2013-09-03,Gideon,2,Central (New Madrid County),1
2013-09-03,Fulton,1,Centralia,2
2013-09-03,Caruthersville,0,Charleston,2
2013-09-03,Cooter,2,Clarkton,0
2013-09-03,Savannah,2,Clinton,0
2013-09-03,Pierce City,2,Crane,1
2013-09-03,Smithton,0,Crest Ridge,2
2013-09-03,Ste. Genevieve,2,Crystal City,0
2013-09-03,McAuley Catholic,0,Diamond,2
2013-09-03,St. Joseph's Academy,2,Duchesne,1
2013-09-03,Butler,0,El Dorado Springs,2
2013-09-03,Camdenton,0,Eldon,2
2013-09-03,West County,2,Ellington,0
2013-09-03,Clearwater,1,Eminence,2
2013-09-03,Richmond,0,Excelsior Springs,2
2013-09-03,Webb City,0,Festus,2
2013-09-03,Cabool,2,Fordland,0
2013-09-03,St. Charles,2,Fort Osage,1
2013-09-03,Seckman,1,Fox,2
2013-09-03,Troy Buchanan,0,Francis Howell,2
2013-09-03,Timberland,2,Francis Howell Central,0
2013-09-03,Francis Howell North,2,Ft. Zumwalt South,0
2013-09-03,Bradleyville,1,Galena,2
2013-09-03,Ozark,2,Glendale,1
2013-09-03,Bloomfield,0,Greenville,2
2013-09-03,Bishop DuBourg,2,Hancock,0
2013-09-03,Valley Park,2,Hancock,0
2013-09-03,Principia,2,Hancock,0
2013-09-03,Platte County,2,Harrisonville,0
2013-09-03,Cole Camp,0,Holden,2
2013-09-03,Ft. Zumwalt West,2,Holt,0
2013-09-03,Verona,2,Hurley,0
2013-09-03,St. Vincent,0,Jackson,2
2013-09-03,Rock Bridge,2,Jefferson City,0
2013-09-03,Riverview Gardens,0,Jennings,2
2013-09-03,Lutheran North,0,John Burroughs,2
2013-09-03,Ladue Horton Watkins,2,John F. Kennedy,0
2013-09-03,Viburnum,0,Kingston,2
2013-09-03,La Monte,2,Kingsville,1
2013-09-03,Marshall,2,Kirksville,0
2013-09-03,Lathrop,0,Lafayette (St. Joseph),2
2013-09-03,St. Joseph's Academy,1,Lafayette (Wildwood),2
2013-09-03,Drexel,2,Lakeland,0
2013-09-03,St. Teresa's Academy,2,Lee's Summit,0
2013-09-03,Saxony Lutheran,2,Leopold,0
2013-09-03,Woodland,2,Leopold,0
2013-09-03,Bronaugh,0,Liberal,2
2013-09-03,Park Hill,0,Liberty,2
2013-09-03,Central (St. Joseph),0,Liberty North,2
2013-09-03,Parkway West,2,Lindbergh,0
2013-09-03,Kickapoo,0,Logan-Rogersville,2
2013-09-03,Orchard Farm,0,Lutheran St. Charles,2
2013-09-03,Hayti,1,Malden,2
2013-09-03,Windsor,2,Maplewood-Richmond Hts.,0
2013-09-03,Bishop DuBourg,2,Maplewood-Richmond Hts.,0
2013-09-03,Windsor (Imperial),2,Maplewood-Richmond Hts.,0
2013-09-03,Lebanon,0,Marshfield,2
2013-09-03,East Buchanan,0,Maryville,2
2013-09-03,University City,0,McCluer North,2
2013-09-03,Southern Boone,2,Mexico,0
2013-09-03,Clayton,0,MICDS,2
2013-09-03,Lone Jack,0,Midway,2
2013-09-03,Reeds Spring,2,Mt. Vernon,0
2013-09-03,Carthage,2,Nevada,0
2013-09-03,South Iron,0,North County,2
2013-09-03,Summersville,2,North Pemiscot,0
2013-09-03,St. James,2,North Platte,1
2013-09-03,Hazelwood East,2,North Technical,1
2013-09-03,Ursuline Academy,2,Notre Dame (St. Louis),0
2013-09-03,Lafayette County,2,Oak Grove,0
2013-09-03,Winnetonka,0,Oak Park,2
2013-09-03,Warrensburg,0,Odessa,2
2013-09-03,Bourbon,0,Owensville,2
2013-09-03,Kearney,0,Park Hill South,2
2013-09-03,Central (Springfield),2,Parkview,1
2013-09-03,Ft. Zumwalt East,2,Parkway Central,0
2013-09-03,Hazelwood West,0,Parkway North,2
2013-09-03,Puxico,0,Poplar Bluff,2
2013-09-03,William Chrisman,0,Raymore-Peculiar,2
2013-09-03,Ruskin,0,Raytown,2
2013-09-03,Delta (Deering),0,Risco,2
2013-09-03,Parkway South,2,Rockwood Summit,0
2013-09-03,Hallsville,2,Sarcoxie,0
2013-09-03,Carrollton,0,Santa Fe,2
2013-09-03,West Platte,0,Savannah,2
2013-09-03,Grandview (Hillsboro),2,Seneca,0
2013-09-03,Golden City,2,Sheldon,0
2013-09-03,Bernie,2,Sikeston,0
2013-09-03,St. Pius X (Kansas City),2,Sparta,0
2013-09-03,Forsyth,0,Union,2
2013-09-03,Ava,1,Springfield Catholic,2
2013-09-03,Ft. Zumwalt North,2,St. Charles West,0
2013-09-03,Salem,0,St. James,2
2013-09-03,Osage,2,Willard,0
2013-09-03,Spokane,1,Winona,2
2013-09-03,Raytown South,0,Summit Christian Academy,2
2013-09-03,Richland (Essex),0,St. Clair,2
2013-09-03,Potosi,1,Tarkio,2
2013-09-03,Center,2,University Academy Charter,1
2013-09-03,Lesterville,2,Valley,0
2013-09-03,Bishop DuBourg,2,Valley Park,0
2013-09-03,Principia,2,Valley Park,0
2013-09-03,Osceola,2,Warsaw,0
2013-09-03,Helias Catholic,2,Waynesville,0
2013-09-03,Northwest (Cedar Hill),2,Webster Groves,1
2013-09-03,Whitfield,0,Westminster Christian Academy,2
2013-09-03,Buffalo,0,Willard,2
2013-09-03,Hillcrest,2,Willow Springs,1
2013-09-03,Saxony Lutheran,0,Woodland,2
2013-09-04,Valley Park,0,Affton,2
